song_name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,15,0.743,0.3389999999999999,1,-7.678,1,0.409,0.00582,0.0,0.0812,0.118,203.927,238373
BAND DRUM (feat. A$AP Rocky),YG,0,0.846,0.557,8,-7.258999999999999,1,0.457,0.0244,0.0,0.286,0.371,159.009,214800
Radio Silence,R3HAB,56,0.603,0.723,9,-5.89,0,0.0454,0.025,0.0,0.0824,0.382,114.966,138913
Lactose,Chris Cooq,0,0.8,0.579,5,-12.118,0,0.0701,0.0294,0.912,0.0994,0.6409999999999999,123.003,125381
Same - Original mix,Chris Cooq,0,0.7829999999999999,0.792,7,-10.277,1,0.0661,3.52e-05,0.878,0.0332,0.928,120.047,124016
Debauchery - Original mix,Curbo,0,0.81,0.417,9,-10.783,0,0.0793,0.00115,0.919,0.106,0.8370000000000001,120.025,124016
Grandma - Original mix,Bingo Play,0,0.8190000000000001,0.72,4,-8.895,0,0.151,0.000539,0.863,0.0727,0.934,124.003,132742
Bon appétit,G Herbo,0,0.885,0.348,9,-12.569,1,0.451,0.115,0.0,0.107,0.18,142.111,181838
Among - Original mix,34 Feet,0,0.74,0.472,8,-9.008,1,0.0551,5.84e-05,0.847,0.0959,0.622,120.034,124016
Hazard - Original mix,Chris Cooq,0,0.813,0.731,11,-8.932,1,0.0697,8.109999999999999e-05,0.91,0.0727,0.944,124.031,132742
Strummer - Original mix,Jarka,0,0.787,0.83,1,-10.457,1,0.162,0.000784,0.784,0.0373,0.8959999999999999,119.988,124016
Big Racks - Original mix,Big Koola,0,0.777,0.865,7,-12.181,1,0.1169999999999999,0.000106,0.812,0.0791,0.695,119.979,128016
Rulet - Original mix,Scatox,0,0.7959999999999999,0.698,10,-8.86,0,0.0792,0.000223,0.919,0.0727,0.964,123.973,132742
Head - Original mix,Jupitar,0,0.815,0.7090000000000001,1,-10.666,1,0.0779,3.74e-05,0.938,0.0892,0.489,122.001,134769
Defeding - Original mix,Curbo,0,0.799,0.573,0,-9.83,1,0.0576,1.35e-05,0.915,0.0782,0.7659999999999999,120.079,124016
Jupiter - Original mix,Junkee,0,0.812,0.581,1,-11.598,1,0.0874,7.42e-05,0.914,0.0892,0.503,121.994,134769
Koonra - Original mix,Mamuton,0,0.8109999999999999,0.7090000000000001,7,-10.885,1,0.0504,0.000851,0.929,0.0628,0.653,120.007,124016
Spouse - Original mix,Yellow Ey,0,0.746,0.645,1,-16.615,0,0.0532,0.0315,0.966,0.134,0.0359,124.032,127727
Prop - Original mix,Bingo Play,0,0.813,0.598,8,-11.058,1,0.0874,0.000256,0.8909999999999999,0.0892,0.623,122.01,134769
Particular - Original mix,Pablo XD,0,0.812,0.504,1,-11.005999999999998,1,0.055,9.1e-06,0.944,0.0848,0.585,120.014,124016
Tremor - Original mix,Tremora,0,0.8140000000000001,0.8240000000000001,9,-8.98,0,0.0846,0.000428,0.738,0.0771,0.591,122.011,134769
Cent - Original mix,Junkee,0,0.813,0.703,1,-11.562,1,0.0968,0.000133,0.927,0.0892,0.503,121.984,134769
Pantheon - Original mix,Mamuton,0,0.81,0.537,2,-9.894,1,0.0762,7.01e-05,0.932,0.0745,0.523,120.036,124016
Samplerup - Original mix,Chris Cooq,0,0.8059999999999999,0.5870000000000001,7,-10.057,1,0.0607,6.66e-06,0.8959999999999999,0.243,0.616,120.018,128016
Sinisteraz,Bob Janga,0,0.812,0.4539999999999999,4,-9.331,0,0.0965,3.85e-05,0.917,0.0696,0.281,123.014,125381
Tenon,Junkee,0,0.802,0.695,6,-7.382000000000001,0,0.0622,0.0018,0.915,0.109,0.316,119.989,131016
Strap - Original mix,34 Feet,0,0.8220000000000001,0.789,0,-8.783,1,0.124,0.0016,0.774,0.0727,0.923,123.972,132742
Roxa - Original mix,PUBG,0,0.809,0.629,8,-10.081,1,0.0605,0.00053,0.937,0.0788,0.502,119.99,124016
Catholic - Original mix,Big Koola,0,0.8059999999999999,0.4629999999999999,6,-10.788,0,0.299,0.000452,0.938,0.0605,0.684,119.985,124016
Noboz,Electrofanatik,0,0.812,0.452,5,-9.312,0,0.0632,6.96e-05,0.897,0.0969999999999999,0.499,123.042,125381
Astou - Original mix,Alex Delgado,0,0.81,0.94,10,-9.391,0,0.0543,2.6600000000000003e-05,0.917,0.0351,0.444,120.022,148016
Reee,Cubby One,0,0.813,0.5720000000000001,2,-9.564,1,0.0871,0.000728,0.89,0.0864,0.6729999999999999,123.025,125381
Bathroom - Original mix,ANNA-NO,0,0.759,0.855,5,-12.001,0,0.0614,0.000358,0.802,0.0489,0.8079999999999999,119.901,124016
Shuffle - Original mix,Sasha 23,0,0.81,0.948,10,-9.367,0,0.0569,7.69e-05,0.894,0.0509,0.754,119.988,148016
Bordering - Original mix,Zytrex,0,0.807,0.615,4,-11.519,0,0.111,0.0108,0.918,0.0812,0.603,120.006,124016
Stool - Original mix,Zeus Whey,0,0.7929999999999999,0.5379999999999999,7,-9.82,1,0.0744,3.2200000000000003e-05,0.8270000000000001,0.0569,0.5920000000000001,119.99,124016
Mamut - Original mix,Mamuton,0,0.812,0.511,5,-10.903,0,0.0927,5.11e-05,0.907,0.0618,0.618,119.987,124016
Bulk - Original mix,Gladiator Osman,0,0.809,0.604,1,-10.482,1,0.0874,4.36e-05,0.923,0.0524,0.713,120.046,124016
Tuesday,Curbo,0,0.8079999999999999,0.53,11,-10.356,0,0.0503,0.00295,0.494,0.108,0.7440000000000001,122.995,124893
Dong,Electrofanatik,0,0.812,0.778,6,-8.429,1,0.0458,0.00025,0.865,0.0975,0.6829999999999999,123.05,124944
Beb,Dan Thomas,0,0.5479999999999999,0.722,9,-10.046,0,0.0335,0.0958,0.8590000000000001,0.1689999999999999,0.746,122.585,127485
Forgetter,Mr Little Jeans,28,0.821,0.512,5,-7.138,0,0.0596,0.125,0.00703,0.0879,0.5429999999999999,128.035,254122
Nothing Here But Love,Orjan Nilsen,29,0.574,0.8809999999999999,5,-2.15,0,0.166,0.0448,0.0,0.0756,0.551,126.131,189467
Week - Original mix,ANNA-NO,0,0.8540000000000001,0.741,9,-8.298,1,0.149,0.00117,0.863,0.0727,0.911,124.027,132742
Reledaus,Mbo Mentho,0,0.574,0.4629999999999999,11,-23.058000000000003,0,0.0499,0.409,0.000264,0.118,0.993,159.988,171000
Waiting for U,Burbank,31,0.6990000000000001,0.309,4,-10.79,1,0.159,0.8320000000000001,0.171,0.1159999999999999,0.422,79.991,168000
Martyr Luther King,PJ Lucid,41,0.7090000000000001,0.5760000000000001,9,-8.727,1,0.427,0.209,2.66e-06,0.152,0.318,78.706,184546
Bien De To,Messiah,22,0.5720000000000001,0.867,5,-6.148,0,0.386,0.13,0.0,0.321,0.376,88.148,186566
Friend Like Me,Betty Who,44,0.611,0.238,11,-11.93,1,0.0356,0.925,3.91e-06,0.123,0.248,122.047,217466
The Spot,Your Smith,48,0.935,0.7559999999999999,4,-6.957000000000001,1,0.084,0.0617,7.6e-06,0.12,0.961,112.045,171383
Heal Me,Snow Patrol,53,0.552,0.789,9,-5.449,1,0.0242,0.122,4.98e-06,0.0874,0.349,93.938,241160
Blue Bird,Dirty Projectors,37,0.53,0.521,8,-7.939,0,0.152,0.52,0.0289,0.209,0.529,117.259,229333
Bday Cake,Money Man,15,0.867,0.517,2,-10.482,1,0.253,0.0059299999999999,0.0,0.131,0.179,130.033,109056
The Hunt (feat. Corey Taylor),Code Orange,44,0.121,0.982,6,-0.447,1,0.135,2.62e-05,0.0187,0.6409999999999999,0.228,75.075,226906
Sound on the Water,Demun Jones,40,0.6859999999999999,0.873,9,-4.721,1,0.245,0.157,3.1e-06,0.15,0.386,90.01299999999999,210005
Faded,Tabi Bonney,15,0.858,0.698,0,-8.124,1,0.16,0.00432,0.377,0.18,0.7340000000000001,122.999,217371
Free,Trevor Hall,42,0.523,0.615,0,-8.136000000000001,1,0.0361,0.774,2.01e-05,0.365,0.637,95.087,258255
Good Kisser - Recorded at Spotify Studios NYC,Lake Street Dive,38,0.57,0.556,10,-8.139,1,0.0894,0.1669999999999999,0.0,0.0868,0.691,158.153,245596
BLACK HEART,UNB,47,0.713,0.937,5,-2.107,1,0.131,0.0198,0.0,0.57,0.728,125.969,185969
Balenciaga,Dominion,2,0.7509999999999999,0.512,11,-6.789,0,0.0559999999999999,0.0393,3.289999999999999e-05,0.267,0.335,160.016,223000
Coming In Hot,Lecrae,70,0.89,0.4539999999999999,8,-8.777000000000001,1,0.26,0.0271,3.58e-06,0.157,0.425,140.041,200168
No Exit,Preme,0,0.446,0.3829999999999999,1,-10.309,1,0.0647,0.5579999999999999,0.00214,0.111,0.0585,74.953,211304
Fairplay (feat. ASAP Ferg) - Remix,Kiana Ledé,2,0.733,0.489,8,-9.538,1,0.306,0.539,0.0001899999999999,0.102,0.6890000000000001,139.94899999999998,167920
Some Nights,Southside,30,0.4039999999999999,0.926,4,-4.986000000000001,0,0.7340000000000001,0.0978,0.0,0.102,0.211,85.96,198553
Longer Than I Thought,Loote,4,0.75,0.715,9,-5.872999999999999,1,0.1009999999999999,0.0922,8.86e-06,0.395,0.3329999999999999,117.989,215867
"July 27, 2018: Total Lunar Eclipse",Sleeping At Last,37,0.336,0.294,8,-15.374,1,0.033,0.927,0.968,0.0965,0.156,141.452,102570
Homecoming (feat. Bankroll Rico),Xavier Wulf,42,0.914,0.565,9,-5.1,1,0.389,0.239,0.0,0.1009999999999999,0.6809999999999999,133.02100000000002,184130
Eastside Sliding (feat. idontknowjeffery & Chris Travis),Xavier Wulf,43,0.942,0.736,2,-6.058,1,0.268,0.00361,0.0,0.106,0.833,140.025,152655
Our Origin (ASOT 874) [Tune Of The Week],Armin van Buuren,27,0.372,0.813,9,-11.142,0,0.0327,0.000129,0.937,0.289,0.118,131.999,440952
Shanti (ASOT 874),Beatsole,31,0.435,0.7959999999999999,2,-12.252,1,0.0687,0.000215,0.887,0.407,0.106,132.049,277098
I Love You (ASOT 874),Ferry Corsten,23,0.489,0.932,2,-10.371,1,0.0432,3.55e-05,0.125,0.294,0.62,132.003,172244
Higher (ASOT 874),Audien,20,0.441,0.472,6,-12.172,0,0.0363,0.000426,0.0019,0.115,0.0655,131.964,151900
Heartbeat Tonight (ASOT 874) [Progressive Pick],Elevven,18,0.483,0.743,6,-10.563,0,0.0969999999999999,8.96e-05,0.00208,0.11,0.102,132.01,237556
Sweet Lie (ASOT 874) [Future Favorite],Denis Kenzo,22,0.376,0.616,1,-12.556,0,0.045,0.0458,3.55e-06,0.502,0.122,131.996,245710
Tim (ASOT 874),ARTY,21,0.165,0.8390000000000001,4,-11.005999999999998,1,0.0344,9.97e-05,0.903,0.201,0.326,128.076,216960
Azile (ASOT 874),Davey Asprey,19,0.361,0.551,3,-12.575,1,0.0382,0.0226,0.92,0.613,0.446,135.063,117170
Rain (ASOT 874),ARTY,19,0.368,0.644,10,-10.883,1,0.0368,0.000128,0.0654,0.195,0.0694,127.808,202570
Sunrise (ASOT 874),ARTY,19,0.2739999999999999,0.4039999999999999,0,-11.174,1,0.0354,0.00185,0.0031899999999999,0.2319999999999999,0.22,127.805,191780
Climb,Neffex,41,0.775,0.685,5,-7.552,1,0.369,0.039,0.0,0.0725,0.949,140.142,144000
"A State Of Trance (ASOT 874) - Track Recap, Pt. 1",Armin van Buuren,14,0.516,0.685,6,-10.207,0,0.241,0.1119999999999999,0.0,0.369,0.821,91.191,31720
"A State Of Trance (ASOT 874) - Track Recap, Pt. 2",Armin van Buuren,14,0.5920000000000001,0.6759999999999999,6,-10.949000000000002,0,0.365,0.1159999999999999,0.0,0.552,0.725,64.03699999999999,35060
"A State Of Trance (ASOT 874) - Track Recap, Pt. 3",Armin van Buuren,13,0.489,0.599,11,-10.637,0,0.27,0.0306,0.0,0.3279999999999999,0.599,135.446,50700
A State Of Trance (ASOT 874) - ASOT Live From Tommorowland 2018 Announcement,Armin van Buuren,14,0.527,0.757,4,-10.241,0,0.298,0.0879,0.0,0.4539999999999999,0.953,67.01899999999999,35990
"A State Of Trance (ASOT 874) - Coming Up, Pt. 3",Armin van Buuren,14,0.5379999999999999,0.858,8,-11.037,1,0.16,0.151,0.0,0.144,0.703,132.088,49120
Fly Away (ASOT 874) - KhoMha Remix,Vincent de Moor,18,0.471,0.888,1,-11.833,1,0.0519,0.000195,0.893,0.688,0.304,130.07399999999998,191930
Breathe Deep (ASOT 874),Rub!k,16,0.4479999999999999,0.738,11,-11.675999999999998,1,0.0773,0.00412,0.911,0.2689999999999999,0.109,130.058,195750
Wake Walker,Xavier Wulf,39,0.8320000000000001,0.457,1,-10.623,1,0.172,0.1689999999999999,2.94e-05,0.133,0.2269999999999999,130.026,133349
Saving Light (ASOT 874) [Service For Dreamers],Gareth Emery,18,0.2689999999999999,0.5660000000000001,4,-11.095999999999998,0,0.0429,0.000295,0.0707,0.502,0.0587,131.863,251700
"A State Of Trance (ASOT 874) - Coming Up, Pt. 2",Armin van Buuren,16,0.4529999999999999,0.507,7,-12.69,1,0.303,0.18,0.0,0.836,0.536,111.266,41565
Petra (ASOT 874),Fatum,15,0.239,0.657,6,-11.322,1,0.0754,0.00172,0.971,0.126,0.146,129.747,107120
I'll Be Your Light (ASOT 874),Alex Sonata,32,0.299,0.6409999999999999,0,-11.93,0,0.0519,0.00564,0.000987,0.705,0.126,132.014,227240
"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 1",Armin van Buuren,12,0.551,0.551,1,-10.970999999999998,1,0.81,0.242,0.0,0.716,0.759,172.205,34900
Inception (ASOT 874),Specific Slice,14,0.395,0.8590000000000001,1,-11.906,1,0.095,0.0001899999999999,0.384,0.733,0.251,131.68200000000002,298810
There Is Light (ASOT 874) - A.R.D.I. Remix,Andy Moor,16,0.4539999999999999,0.966,0,-11.679,0,0.24,0.0001699999999999,0.715,0.477,0.0536,137.035,252150
A Day's Routine - Interlude,Xavier Wulf,37,0.6509999999999999,0.857,1,-7.672000000000001,0,0.0609,0.0025,0.493,0.115,0.139,169.97,137179
"A State Of Trance (ASOT 874) - Coming Up, Pt. 1",Armin van Buuren,16,0.46,0.662,2,-10.579,1,0.3329999999999999,0.0198,0.0,0.299,0.706,132.468,31224
"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 2",Armin van Buuren,12,0.657,0.471,9,-10.784,1,0.4039999999999999,0.236,0.0,0.862,0.867,77.584,31110
Frostbite (ASOT 874),Hamzeh,14,0.433,0.787,8,-11.765,1,0.0378,0.0077599999999999,0.883,0.39,0.214,133.515,176070
Haunted (ASOT 874) - Avao Remix,MaRLo,17,0.499,0.722,7,-11.55,1,0.0429,0.000977,0.515,0.331,0.0844,136.174,243540
A State Of Trance (ASOT 874) - Intro,Armin van Buuren,17,0.291,0.905,2,-10.378,1,0.165,0.00276,0.0,0.369,0.341,134.22299999999998,31315
"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 3",Armin van Buuren,12,0.6679999999999999,0.462,9,-10.292,1,0.38,0.276,0.0,0.6659999999999999,0.907,89.691,33780
"A State Of Trance (ASOT 874) - Coming Up, Pt. 4",Armin van Buuren,12,0.5379999999999999,0.795,11,-10.377,0,0.0933,0.115,0.0,0.855,0.721,100.567,48750
"A State Of Trance (ASOT 874) - Interview with ARTY, Pt. 4",Armin van Buuren,12,0.76,0.462,11,-11.029000000000002,0,0.422,0.305,0.0,0.409,0.918,88.645,36520
An Ember In The Ashes (ASOT 874),Adam Ellis,16,0.408,0.979,1,-11.928,1,0.0673,0.000108,0.981,0.55,0.1159999999999999,135.993,268410
Cast Iron (ASOT 874),Maarten de Jong,17,0.246,0.802,7,-10.609000000000002,1,0.0431,9.14e-06,0.905,0.536,0.152,135.974,147280
