song_name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
Pangarap,Barbie's Cradle,41,0.682,0.401,2,-10.068,1,0.0236,0.279,0.0117,0.0887,0.5660000000000001,97.091,235440
I Feel Alive,Steady Rollin,28,0.303,0.88,9,-4.739,1,0.0442,0.0117,0.00994,0.347,0.404,135.225,373512
Poison,Bell Biv DeVoe,0,0.845,0.652,6,-7.504,0,0.216,0.00432,0.00723,0.489,0.65,111.904,262467
Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,41,0.425,0.378,5,-5.819,0,0.0341,0.6890000000000001,0.0,0.0664,0.405,118.593,243067
Dumb Litty,KARD,65,0.76,0.887,9,-1.993,1,0.0409,0.037,0.0,0.138,0.24,130.018,193160
Soldier,James TW,70,0.496,0.639,6,-6.157,1,0.055,0.28,0.0,0.0975,0.305,147.764,224720
Satisfy You,Diddy,52,0.764,0.594,6,-10.05,1,0.185,0.591,0.0,0.145,0.695,87.26100000000002,286441
Tender Lover,Babyface,36,0.743,0.86,5,-6.346,1,0.0445,0.226,0.000422,0.0513,0.687,102.459,259267
Hide Away (feat. Envy Monroe),Blasterjaxx,42,0.573,0.746,10,-4.894,1,0.0421,0.0249,0.0,0.361,0.134,130.001,188000
Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,78,0.754,0.725,8,-6.058,1,0.0661,0.0104,0.0,0.192,0.271,120.002,208133
Una Vaina Loca,Fuego,1,0.794,0.882,1,-5.589,1,0.0361,0.114,7.979999999999999e-05,0.062,0.642,117.009,188213
Limestone,Magic City Hippies,58,0.706,0.457,4,-9.359,1,0.0383,0.282,0.00849,0.0614,0.723,78.014,209165
La Mordidita,Ricky Martin,69,0.725,0.903,0,-2.955,1,0.0658,0.0344,0.0,0.183,0.946,142.006,211680
Changes,2Pac,72,0.865,0.657,7,-6.722,1,0.076,0.0404,0.0,0.14,0.316,111.115,268960
Latina (feat. Maluma),Reykon,74,0.826,0.713,9,-4.017,0,0.129,0.0748,0.0,0.331,0.75,102.071,226739
Let Me Entertain You - Remastered 2011,Queen,41,0.521,0.902,11,-4.826,0,0.197,0.0164,0.00105,0.737,0.5920000000000001,104.708,181693
Suga Suga,Baby Bash,8,0.662,0.748,5,-3.041,0,0.268,0.688,8.43e-06,0.0841,0.535,82.331,239027
You Don't Know Me - Radio Edit,Jax Jones,14,0.8759999999999999,0.669,11,-6.054,0,0.138,0.163,0.0,0.185,0.682,124.007,213947
Secrets,The Weeknd,71,0.665,0.7709999999999999,0,-5.779,1,0.0533,0.0155,9.6e-06,0.46,0.764,109.945,265600
Me Enamoré,Jay Wheeler,62,0.495,0.357,11,-7.555,1,0.0439,0.968,0.00104,0.118,0.456,179.74,253830
"Stand Out - From ""How to Build a Better Boy""",Sabrina Carpenter,33,0.414,0.8059999999999999,7,-2.892,1,0.0665,0.00792,9.33e-05,0.0488,0.77,96.044,208827
Laps,Zotiyac,36,0.7559999999999999,0.453,8,-9.965,1,0.318,0.0039,0.0,0.632,0.114,140.132,144380
Get The Funk Out Ma Face,The Brothers Johnson,49,0.88,0.57,2,-13.145,1,0.0821,0.292,0.0388,0.0674,0.7909999999999999,106.035,147000
Ooh,SAYMYNAME,39,0.59,0.965,4,-1.787,1,0.0548,0.0147,0.163,0.12,0.386,148.167,147568
La Vida Es Una (feat. Pitbull),Lil Jon,32,0.742,0.921,9,-3.661,1,0.211,0.00409,0.0,0.215,0.604,126.04,180591
Juke Box Hero,Foreigner,67,0.357,0.653,9,-5.554,1,0.0654,0.0828,0.0,0.0844,0.522,176.64700000000005,259800
We Own It (Fast & Furious),2 Chainz,59,0.5539999999999999,0.899,8,-4.573,1,0.408,0.0521,0.0,0.0568,0.552,171.96599999999995,227893
Ain't No Future In Yo' Frontin',MC Breed,48,0.672,0.7609999999999999,0,-9.644,1,0.248,0.0514,0.0,0.474,0.731,102.192,244733
La rebelion,Joe Arroyo,68,0.5710000000000001,0.755,1,-7.907,1,0.0735,0.142,2.55e-05,0.136,0.875,107.951,376013
It's You - Radio Edit,Syn Cole,51,0.6459999999999999,0.831,10,-4.164,1,0.0523,0.11,1.04e-05,0.134,0.486,127.957,211875
Bongo Bong,Manu Chao,66,0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.80700000000004,158427
It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,0,0.627,0.8320000000000001,6,-5.525,0,0.0478,0.00939,0.00305,0.115,0.216,128.025,298125
Full Moon,DREAMCATCHER,49,0.589,0.945,7,-2.112,1,0.113,0.186,0.0,0.381,0.248,94.964,189711
Hot,Confetti,51,0.607,0.908,7,-3.883,1,0.107,0.00297,1.61e-06,0.12,0.664,168.015,150714
Bené,PNL,62,0.784,0.7,7,-7.649,0,0.108,0.491,0.0,0.108,0.769,82.02799999999998,190067
Shine - Kygo Remix,Benjamin Francis Leftwich,48,0.703,0.599,4,-8.687,1,0.138,0.402,0.000572,0.243,0.312,112.017,280640
Don't Let It Break Your Heart - Single Edit,Louis Tomlinson,75,0.362,0.708,10,-4.046,1,0.0672,0.0226,0.0,0.0873,0.513,166.31,196160
Been A While,Sam Feldt,2,0.779,0.695,1,-6.064,0,0.031,0.425,0.000769,0.107,0.392,120.004,163527
Santa Claus Is Coming To Town,The Jackson 5,28,0.691,0.66,5,-8.161,1,0.0354,0.18,0.000266,0.174,0.94,146.78,143507
Dancing On My Own - Tiësto Remix,Calum Scott,9,0.608,0.648,1,-5.569,1,0.036,0.0194,0.00104,0.0897,0.114,121.96,224392
Phenomenal,Eminem,1,0.64,0.841,1,-2.426,0,0.0466,0.153,0.0,0.0457,0.0471,121.075,282546
Get Get Down - Radio Edit,Merk & Kremont,37,0.601,0.933,11,-4.087,0,0.0764,0.00724,0.0134,0.468,0.332,128.032,181875
Beautiful Life,Lost Frequencies,30,0.732,0.52,2,-6.684,0,0.0376,0.127,0.0347,0.139,0.339,119.979,161464
Suave,Tabitha,49,0.7929999999999999,0.7440000000000001,1,-3.966,0,0.0993,0.00901,0.0204,0.258,0.718,98.001,177377
Pegao,Wisin & Yandel,38,0.792,0.816,3,-4.751,1,0.254,0.51,0.0,0.356,0.809,96.038,232493
Try,P!nk,10,0.6729999999999999,0.629,2,-7.072,1,0.0299,0.00141,0.0,0.0944,0.551,103.998,247907
Not To Much - Remastered 2016,Don Omar,44,0.752,0.726,1,-4.59,0,0.0564,0.0197,0.0,0.203,0.261,92.004,211520
Funky Friday,Dave,72,0.975,0.535,1,-7.227,1,0.196,0.0783,0.0,0.107,0.6709999999999999,125.066,182741
First Love,Lost Kings,58,0.619,0.938,5,-5.245,1,0.35,0.0257,1.39e-05,0.128,0.601,94.38,207428
Alone,Lund,64,0.742,0.355,2,-15.506,1,0.0814,0.654,0.703,0.384,0.037,120.018,254000
Now That We're Dead,Metallica,50,0.5660000000000001,0.951,2,-3.591,1,0.0464,0.000101,0.103,0.266,0.345,128.304,419075
Love Sosa,Chief Keef,64,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,246213
Mama Knew Love,Anthony Hamilton,41,0.635,0.695,11,-4.403,1,0.314,0.212,0.0,0.298,0.7659999999999999,79.232,208440
Generé,Bipo Montana,46,0.743,0.565,9,-10.454,1,0.324,0.778,0.000174,0.298,0.753,88.041,219786
Girlfriend in a Coma - 2011 Remaster,The Smiths,56,0.68,0.626,7,-8.519,1,0.0255,0.126,1.3e-06,0.0995,0.96,104.333,122760
Did It Again,Lil Tecca,41,0.6990000000000001,0.575,1,-9.922,1,0.159,0.218,0.0,0.112,0.234,148.767,116240
I'll Be All You'll Ever Need,Trinere,27,0.72,0.8140000000000001,8,-8.195,0,0.0546,0.00794,0.00029,0.0619,0.77,123.551,324360
Talk Dirty To Me,Poison,54,0.507,0.804,11,-13.267,1,0.044,0.0211,0.00248,0.381,0.708,157.996,223960
Goodbye Love,Guy,45,0.68,0.381,5,-16.646,0,0.0291,0.112,0.0,0.0316,0.701,82.186,304027
Morph,Twenty One Pilots,70,0.7340000000000001,0.607,8,-7.249,0,0.0806,0.0747,0.0005769999999999999,0.0968,0.518,90.023,258853
50 Vezes - Ao Vivo,Sorriso Maroto,73,0.557,0.657,7,-6.428,1,0.0277,0.8220000000000001,1.54e-06,0.952,0.574,147.872,184107
Harlem Shake,Baauer,62,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825,196664
Always Gonna Say Sorry,Joakim Molitor,1,0.531,0.63,2,-5.677,1,0.0433,0.216,0.0,0.054,0.328,77.35300000000002,193742
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,78,0.6559999999999999,0.6609999999999999,9,-5.888,1,0.0602,0.0686,0.0,0.125,0.509,140.95600000000005,223045
Rattle Your Cage,Skrizzly Adams,44,0.583,0.565,1,-8.318,1,0.123,0.027,0.0,0.0908,0.498,179.87400000000005,209972
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,67,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560
Why Don't You Get A Job,The Offspring,8,0.767,0.8759999999999999,5,-4.435,1,0.0757,0.0812,1.36e-06,0.337,0.595,107.915,172467
On the Back of Your Neck,Cienfue,49,0.6759999999999999,0.7879999999999999,9,-4.596,0,0.0428,0.1,0.254,0.326,0.688,123.018,253444
WhatWasThat,BONES,0,0.722,0.519,0,-12.871,1,0.0516,0.0253,0.0114,0.189,0.128,99.987,143833
Heartless (feat. Mustard),Polo G,76,0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999995,201627
Say My Name,Lil Yachty,54,0.7979999999999999,0.5529999999999999,10,-6.296,0,0.348,0.102,0.0,0.113,0.158,144.05200000000005,186680
Paint My Love - 2014 Remastered Version,Michael Learns To Rock,37,0.584,0.507,9,-8.055,1,0.0243,0.0202,7.83e-06,0.146,0.253,142.019,231000
Hi Life,UGK,42,0.6629999999999999,0.606,5,-7.552,1,0.203,0.579,0.0,0.217,0.613,79.721,325373
This Is Our Time,WILD,57,0.531,0.7240000000000001,8,-7.341,1,0.0283,0.0243,0.0515,0.112,0.288,145.02200000000005,202478
It Runs Through Me,Tom Misch,67,0.802,0.607,11,-11.028,0,0.289,0.205,0.0007480000000000001,0.246,0.274,96.916,261881
Nothing Really Matters - Afrojack Remix,Mr. Probz,52,0.6559999999999999,0.752,4,-5.622,1,0.0378,0.354,1.1e-05,0.0707,0.477,128.029,199247
Who Are You,The Who,12,0.653,0.631,9,-11.334,1,0.0461,0.299,0.00265,0.0627,0.516,156.32,381627
I Want You To Want Me,Cheap Trick,0,0.8059999999999999,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,191227
I Heard It Through The Grapevine - Single Version,Creedence Clearwater Revival,2,0.917,0.643,2,-7.962,1,0.0413,0.133,0.00342,0.0569,0.746,117.626,231760
Without You - Remastered,Harry Nilsson,13,0.453,0.213,4,-13.656,1,0.0279,0.5539999999999999,3.68e-06,0.0506,0.0955,64.17699999999999,203000
Raise Up,Petey Pablo,54,0.735,0.8440000000000001,1,-5.215,1,0.1669999999999999,0.142,0.0,0.319,0.742,156.069,286427
Compound,Trellion,41,0.371,0.196,3,-17.652,1,0.0723,0.97,0.0,0.234,0.219,66.23100000000001,172000
Get the Party Started,P!nk,66,0.802,0.904,11,-3.267,0,0.0459,0.00108,0.0,0.173,0.961,128.931,192533
Stray Lines,Mishaal,48,0.6940000000000001,0.6579999999999999,7,-8.863,1,0.029,0.364,1.43e-06,0.3,0.584,140.02100000000002,140250
Paloma Negra,Chavela Vargas,47,0.585,0.036,2,-14.145,1,0.0418,0.8590000000000001,3.34e-06,0.0908,0.433,151.22299999999996,198760
On Fire,Carmada,37,0.486,0.7440000000000001,7,-6.082,0,0.356,0.0302,6.68e-05,0.0914,0.402,94.965,230507
Tequila,Juanes,77,0.757,0.688,9,-4.546,1,0.112,0.226,0.0,0.237,0.7040000000000001,155.994,159547
Ella Se Fue,Kinto Sol,60,0.831,0.79,10,-5.322,0,0.0843,0.0386,0.0004730000000000001,0.0708,0.96,93.998,287920
Who Needs You - Remastered 2011,Queen,39,0.863,0.381,9,-12.823,1,0.0528,0.261,0.000277,0.202,0.906,120.645,186853
07-nov,Beyoncé,71,0.747,0.705,9,-5.137,0,0.126,0.0128,0.0,0.126,0.56,136.024,213507
Getting Away With Murder,Papa Roach,38,0.557,0.959,1,-4.632,1,0.0547,0.000113,8.04e-05,0.233,0.331,103.887,190587
Smile - Years Remix,Galantis,14,0.584,0.767,0,-8.387,1,0.0409,8.82e-05,0.557,0.0314,0.101,128.012,367500
My Nigga,YG,69,0.6729999999999999,0.464,10,-6.864,0,0.201,0.0933,0.0,0.21,0.762,171.043,235600
Don't Look Down (feat. Blake Young),CASS,42,0.748,0.713,0,-5.444,1,0.149,0.0426,1.73e-06,0.149,0.87,149.92700000000005,212364
Unity,Dimitri Vegas & Like Mike,66,0.65,0.912,10,-4.588,0,0.0406,0.0241,0.8,0.293,0.191,129.999,234462
pete davidson,Ariana Grande,36,0.654,0.312,4,-10.212,1,0.0508,0.429,8.59e-06,0.19,0.304,119.9,73813
This Is How We Party (with Icona Pop),R3HAB,60,0.802,0.8029999999999999,4,-5.428,1,0.153,0.0572,1.06e-06,0.269,0.339,118.997,147605
Tokyo,Lianne La Havas,46,0.616,0.624,4,-9.128,0,0.0358,0.306,0.0144,0.379,0.304,87.99,269053
Corduroy Dreams,Rex Orange County,75,0.61,0.305,4,-14.037,1,0.053,0.653,0.0,0.103,0.222,113.818,206975
Hit That Jive,Gramatik,55,0.8959999999999999,0.684,1,-6.099,1,0.0731,0.0461,0.051,0.1639999999999999,0.6859999999999999,99.995,203051
Nobody (feat. Athena Cage) - Single Version; 2007 Remaster,Keith Sweat,45,0.7120000000000001,0.511,9,-8.753,0,0.0297,0.397,0.0,0.483,0.412,117.896,251760
Go to Hell,Alice Cooper,38,0.374,0.6629999999999999,11,-13.454,1,0.117,0.00559,0.00976,0.357,0.519,166.112,315707
Paparazzi,Lady Gaga,69,0.762,0.6920000000000001,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,208307
Jet Airliner - Remastered 2017,Steve Miller Band,33,0.511,0.857,0,-7.54,1,0.0402,0.0818,0.0,0.473,0.722,121.516,215966
Say It,Flume,57,0.59,0.531,3,-6.828,0,0.0326,0.0704,3.01e-06,0.0623,0.266,75.11399999999998,262521
Faith - Radio Edit,Blasterjaxx,0,0.672,0.6920000000000001,9,-6.566,0,0.0486,0.00636,0.00231,0.187,0.67,128.009,183067
Chloe (You're the One I Want),Emblem3,51,0.71,0.925,0,-3.329,1,0.0359,0.039,0.0,0.127,0.93,118.024,222987
Save My Night - BlasterJaxx Remix,Armin van Buuren,16,0.6859999999999999,0.906,8,-4.886,1,0.0475,0.00196,0.745,0.052,0.165,129.972,326827
Where I Won't Be Found,Seven Lions,37,0.568,0.767,0,-3.634,1,0.0461,0.0919,0.0,0.3,0.275,129.931,180938
She Don't Give a Fo,Duki,71,0.8540000000000001,0.556,1,-4.49,1,0.14,0.345,0.0,0.165,0.342,119.938,209531
Go Getta,Jeezy,50,0.397,0.74,3,-6.584,0,0.143,0.105,0.0,0.15,0.431,174.03900000000004,229347
melancholyism.,Super Whatevr,46,0.44,0.652,0,-6.201,0,0.079,0.0357,0.000136,0.0587,0.5,93.353,188107
Slow Motion,Color Me Badd,21,0.7829999999999999,0.885,6,-7.747,0,0.0648,0.00531,0.752,0.0435,0.941,92.042,265667
In Between,Beartooth,64,0.462,0.972,7,-2.642,0,0.138,0.00285,0.0,0.6659999999999999,0.449,128.092,213576
Watch Me Dance,Tom Misch,37,0.7709999999999999,0.29,10,-13.413,0,0.0341,0.3229999999999999,0.0316,0.0645,0.192,118.003,303586
Baila Conmigo,Manuel Turizo,53,0.884,0.348,0,-9.248,1,0.145,0.384,9.92e-06,0.0973,0.563,90.023,228040
California,DJ Quik,11,0.917,0.745,2,-3.012,0,0.266,0.0967,0.0,0.0839,0.759,98.927,195800
Switch,Afrojack,54,0.768,0.6759999999999999,11,-6.252,1,0.138,0.174,0.00021,0.152,0.61,109.96,173340
Stranger,MOTHXR,49,0.603,0.688,8,-5.515,1,0.0358,0.0117,0.75,0.0941,0.561,94.991,195000
How Ya Like Me Now - Longer Version,Kool Moe Dee,19,0.873,0.8590000000000001,1,-9.225,1,0.105,0.00369,0.000973,0.0933,0.542,104.196,337027
Hoops - Acoustic,JONES,47,0.74,0.198,11,-6.787,0,0.033,0.884,0.0,0.107,0.19,120.032,206062
Starstruck,Christopher Wilde,55,0.555,0.8,0,-4.835,1,0.0776,0.0353,0.0,0.0783,0.8009999999999999,174.007,175027
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,74,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773
CAN YOU HEAR ME NOW?,Bishop Briggs,52,0.718,0.581,7,-6.285,1,0.103,0.00455,5.16e-05,0.0726,0.406,100.987,179440
Encanto,Don Omar,49,0.7440000000000001,0.871,8,-5.123,1,0.0499,0.145,0.000503,0.0752,0.902,172.03,195400
Down 4 Whateva,Nuttin' Nyce,24,0.688,0.7190000000000001,11,-6.038,1,0.0582,0.0363,1.29e-06,0.297,0.653,97.75,287867
Cemetry Gates - 2011 Remaster,The Smiths,52,0.55,0.7959999999999999,7,-7.007,1,0.0306,0.151,0.0,0.222,0.622,105.354,161040
I Don't Wanna,Aaliyah,0,0.706,0.522,9,-7.385,0,0.0352,0.546,0.0,0.276,0.684,130.034,256560
Die To Live,Volbeat,50,0.421,0.968,9,-2.931,1,0.144,0.0158,0.6559999999999999,0.351,0.355,186.095,182960
