song_name,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
Comedy,Gen Hoshino,73.0,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,230666
Ghost - Acoustic,Ben Woodward,55.0,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,77.489,149610
To Begin Again,Ingrid Michaelson;ZAYN,57.0,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,76.332,210826
Can't Help Falling In Love,Kina Grannis,71.0,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,201933
Hold On,Chord Overstreet,82.0,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949,198853
Days I Will Remember,Tyrone Wells,58.0,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,98.017,214240
Say Something,A Great Big World;Christina Aguilera,74.0,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400
I'm Yours,Jason Mraz,80.0,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242946
Lucky,Jason Mraz;Colbie Caillat,74.0,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,189613
Hunger,Ross Copperman,56.0,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,78.899,205594
Give Me Your Forever,Zack Tabudlo,74.0,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905,244800
I Won't Give Up,Jason Mraz,69.0,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,240165
Solo,Dan Berk,52.0,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,198712
Bad Liar,Anna Hamilton,62.0,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,248448
Hold On - Remix,Chord Overstreet;Deepend,56.0,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,188133
Falling in Love at a Coffee Shop,Landon Pigg,58.0,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,244986
ily (i love you baby),Andrew Foy;Renee Foy,56.0,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,129750
At My Worst,Andrew Foy;Renee Foy,54.0,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,169728
Lucky,Jason Mraz;Colbie Caillat,68.0,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,189613
Photograph,Boyce Avenue;Bea Miller,67.0,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,260186
I'm Yours,Jason Mraz,75.0,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,242946
Demons,Boyce Avenue;Jennel Garcia,63.0,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,174174
Say Something,A Great Big World;Christina Aguilera,70.0,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400
93 Million Miles,Jason Mraz,0.0,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216386
Unlonely,Jason Mraz,0.0,0.796,0.667,5,-4.831,0,0.0392,0.381,0.0,0.221,0.754,97.988,231266
Bella Luna,Jason Mraz,1.0,0.755,0.454,9,-9.609,0,0.0352,0.757,0.0,0.236,0.33,120.06,302346
Winter Wonderland,Jason Mraz,0.0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,131760
If It Kills Me,Jason Mraz,0.0,0.633,0.429,4,-6.784,0,0.0381,0.0444,0.0,0.132,0.52,143.793,273653
Winter Wonderland,Jason Mraz,0.0,0.62,0.309,5,-9.209,1,0.0495,0.788,0.0,0.146,0.664,145.363,131760
